Pergunta,Resposta
"Qual a diferença entre tipos de valor (value types) e tipos de referência (reference types) em C#?","Tipos de valor (int, double, struct, enum, bool) são armazenados na stack e contêm o dado diretamente. Tipos de referência (class, string, array, delegate) são armazenados na heap e a variável contém apenas um ponteiro/referência para o objeto. Ao copiar um value type, cria-se uma cópia independente; ao copiar um reference type, ambas as variáveis apontam para o mesmo objeto."
"O que é boxing e unboxing em C#?","Boxing é o processo de converter um value type em object (reference type), alocando memória na heap. Unboxing é o inverso: extrair o value type de dentro do object. Boxing/unboxing tem custo de performance e deve ser evitado em loops ou código de alto desempenho. Exemplo: int x = 42; object o = x; (boxing) int y = (int)o; (unboxing)."
"Para que serve o modificador 'ref' em parâmetros de método?","O modificador 'ref' permite passar um argumento por referência, ou seja, o método recebe uma referência direta à variável original, podendo modificá-la. A variável deve ser inicializada antes de ser passada. Diferente de 'out', que não exige inicialização prévia mas obriga o método a atribuir um valor."
"Qual a diferença entre 'ref', 'out' e 'in' em parâmetros?","'ref': passa por referência, variável deve ser inicializada antes, pode ser lida e modificada. 'out': passa por referência, não precisa ser inicializada, método DEVE atribuir valor antes de retornar. 'in': passa por referência somente leitura, o método não pode modificar o valor. 'in' é útil para structs grandes para evitar cópia sem permitir modificação."
"O que são records em C#? Quando usá-los?","Records são tipos de referência (record class) ou valor (record struct) imutáveis por padrão, introduzidos no C# 9. Possuem igualdade por valor (não por referência), sintaxe concisa com positional parameters, método ToString() automático e suporte a 'with' expressions para criar cópias modificadas. Ideais para DTOs, eventos de domínio e objetos de valor (Value Objects)."
"Explique o conceito de string interpolation em C#.","String interpolation permite embutir expressões diretamente em strings usando o prefixo $ e chaves {}. Exemplo: $""Olá, {nome}! Você tem {idade} anos."". É mais legível que string.Format() ou concatenação. Pode-se aplicar formatação: $""{valor:C2}"" para moeda, $""{data:dd/MM/yyyy}"" para datas."
"Qual a diferença entre 'switch statement' tradicional e 'switch expression' em C#?","O switch statement (clássico) usa case/break e executa blocos de código. O switch expression (C# 8+) é uma expressão que retorna um valor, usa '=>' e é mais conciso. Switch expressions suportam pattern matching avançado: type patterns, property patterns, tuple patterns e relational patterns."
"O que são arrays multidimensionais vs jagged arrays em C#?","Arrays multidimensionais (int[,]) têm dimensões fixas e formam uma matriz retangular. Jagged arrays (int[][]) são arrays de arrays, onde cada sub-array pode ter tamanho diferente. Jagged arrays geralmente têm melhor performance porque o CLR otimiza arrays unidimensionais. Use multidimensionais para matrizes regulares e jagged para estruturas irregulares."
"Explique a diferença entre List<T> e Array em C#.","Arrays têm tamanho fixo definido na criação, acesso O(1) por índice. List<T> é uma coleção dinâmica que internamente usa um array que é redimensionado automaticamente (duplicando a capacidade). List<T> oferece métodos como Add, Remove, Contains, Sort. Use arrays quando o tamanho é conhecido e fixo; List<T> quando precisa de tamanho dinâmico."
"O que é um construtor em C#? Quais tipos existem?","Construtor é um método especial chamado ao criar uma instância. Tipos: (1) Construtor padrão (sem parâmetros), (2) Construtor parametrizado, (3) Construtor estático (static, executado uma vez antes do primeiro uso da classe), (4) Construtor privado (impede instanciação externa, usado em Singleton). Constructor chaining permite um construtor chamar outro com 'this()'."
